mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_tfidf__max_features,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
140.13480981191,1.9492992560495406,6.1311172644297285,0.16254725260009495,1.0,,10000,"(1, 1)",english,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.4234455927238924,0.41869698332367616,0.4216938019688431,0.42127879267213714,0.001960696703762835,30
251.31236505508423,10.588057257633988,11.025627295176188,0.10086518253098792,1.0,,10000,"(1, 2)",,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.4088612457940247,0.4060460944207609,0.41034395160462206,0.40841709727313585,0.0017824786159862816,40
160.66871325174967,3.333714051409452,8.421613534291586,0.11053315734915463,1.0,,10000,"(1, 2)",english,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.420275319519907,0.42061375563079345,0.42097482529133845,0.4206213001473463,0.0002856218605825936,31
245.89217098553976,22.12359028843332,6.94658621152242,0.33309080673637076,1.0,,20000,"(1, 1)",,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.4286188297521819,0.4264024782688761,0.42557323616265,0.42686484806123604,0.0012856255148926854,24
219.67982268333435,3.165965737650397,6.195342540740967,0.10255302993102723,1.0,,20000,"(1, 1)",english,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.42444715689205914,0.4202106555787647,0.42304626123897193,0.4225680245699319,0.0017622936906386635,27
341.9290421803792,23.411701084420372,11.015794595082602,0.003870294916412662,1.0,,20000,"(1, 2)",,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.4133793522899067,0.41125250843219047,0.4126344533755814,0.4124221046992262,0.000881167849708051,38
235.4089353879293,7.519937089269372,8.710892995198568,0.5048416747212389,1.0,,20000,"(1, 2)",english,"{'model__C': 1.0, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.42676713504006886,0.4249107300472328,0.4275489288839851,0.42640893132376223,0.0011064223733403729,25
100.9579411347707,8.863453344134014,6.645767052968343,0.24469251418239715,1.0,balanced,5000,"(1, 1)",,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.42149943255121725,0.4196233836467962,0.4261199529870305,0.4224142563950146,0.0027299609639459725,28
77.62290732065837,1.4542283883138103,5.673357645670573,0.1797622099149568,1.0,balanced,5000,"(1, 1)",english,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.4182467610937775,0.4166022162867605,0.4197255265769847,0.4181915013191742,0.0012756846591202272,33
121.59711861610413,5.608402196652988,10.54377563794454,0.1804029269255525,1.0,balanced,5000,"(1, 2)",,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.402463359715622,0.401441518779952,0.4027941286217014,0.40223300237242515,0.0005757237330368797,47
95.62007975578308,2.729058296219693,8.516668319702148,0.16365514524769548,1.0,balanced,5000,"(1, 2)",english,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.41574313992537787,0.41267929154142086,0.4172342141571712,0.41521888187465666,0.0018961302498647133,34
109.75541027386983,2.1863772777140262,6.445022106170654,0.08768774160315333,1.0,balanced,10000,"(1, 1)",,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.4469435435595951,0.4453678518727755,0.4504829172934925,0.44759810424195434,0.002138895482832459,13
85.76473935445149,2.930670368659866,6.057388067245483,0.05527905457457623,1.0,balanced,10000,"(1, 1)",english,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.44546283604156534,0.4428135632455434,0.4465622017837762,0.4449462003569617,0.0015733736673224441,15
142.63260157903036,7.820286287985835,11.06809663772583,0.20578574526312646,1.0,balanced,10000,"(1, 2)",,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.4315448195236053,0.4301739852230269,0.43350463142137746,0.43174114538933656,0.0013667989144501326,21
119.04249080022176,4.968883097985089,8.487368106842041,0.1174833924685949,1.0,balanced,10000,"(1, 2)",english,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.44347914507387454,0.43990304890446763,0.4440198228287178,0.4424673389356866,0.001826612644907248,16
144.97372190157571,12.423198681294311,6.454157590866089,0.1678624041466856,1.0,balanced,20000,"(1, 1)",,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.4588785992536534,0.45871136875964313,0.4623681971148174,0.4599860550427046,0.0016858118021355032,3
127.72285199165344,9.253422933342419,6.498464584350586,0.15085798944720774,1.0,balanced,20000,"(1, 1)",english,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.4597413313527684,0.4547499214773661,0.4614221548343437,0.4586378025548261,0.0028334909385664356,5
207.27620673179626,12.867442430672092,11.539276281992594,0.11214433489462197,1.0,balanced,20000,"(1, 2)",,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.4520382315709184,0.45063247324588424,0.4543864363961398,0.45235238040431414,0.001548564270652463,11
155.86119230588278,5.2178744094093545,8.537402073542276,0.04367998492117394,1.0,balanced,20000,"(1, 2)",english,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.4605806476819314,0.4569532544197731,0.46125923594425494,0.4595977126819865,0.0018903245105681972,4
298.0513834953308,11.372363546092952,6.596283356348674,0.2180859013594546,10.0,,5000,"(1, 1)",,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.42211856482394466,0.4202411314100736,0.42283463185612274,0.42173144269671364,0.001093605290452395,29
216.10367862383524,8.01783618369043,5.824446519215901,0.14118020335433495,10.0,,5000,"(1, 1)",english,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.414916992128113,0.41223270017518504,0.4151768928401874,0.4141088617144952,0.0013308828363719155,35
319.6114456653595,29.35742945739542,10.722666501998901,0.018115409733531502,10.0,,5000,"(1, 2)",,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.4007912371038671,0.39733380107757876,0.40198741294132956,0.4000374837075918,0.001973175778858022,48
255.29989075660706,14.37786930307376,8.4213019212087,0.18624907570660146,10.0,,5000,"(1, 2)",english,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.41356205678641433,0.4117313852722172,0.41515497346699143,0.4134828051752077,0.001398797017740246,36
361.10216093063354,16.086496235235284,6.531840721766154,0.1210521560471352,10.0,,10000,"(1, 1)",,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.4491883437033142,0.4460165218827174,0.4477352138043463,0.44764669313012595,0.0012964028046166254,12
288.72630763053894,19.97341309654904,6.03314208984375,0.06984135330293997,10.0,,10000,"(1, 1)",english,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.43893483673813577,0.4372592321957039,0.4389800603318992,0.43839137642191295,0.0008007597247040218,18
470.4843300978343,11.523219126693828,11.161357641220093,0.08012771544466508,10.0,,10000,"(1, 2)",,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.4253578356767115,0.42382058610521944,0.42605142109701,0.42507661429298027,0.0009321910713117589,26
